"Qty","Value","Device","Package","Parts","Description"
"2","0.01µ","C-EUC0603","C0603","C6, C7","CAPACITOR, European symbol"
"5","100k","R-US_R0603","R0603","R5, R13, R21, R22, R23","RESISTOR, American symbol"
"2","100k Log","TRIM_US-B64Y","B64Y","AUDIO-LVL, CV-LVL","POTENTIOMETER"
"2","100µ","C-US025-050X050","C025-050X050","C2, C3","CAPACITOR, American symbol"
"2","10K","R-US_R0603","R0603","R17, R19","RESISTOR, American symbol"
"2","10k","R-US_R0603","R0603","R8, R12","RESISTOR, American symbol"
"1","10k Lin","TRIM_US-B64Y","B64Y","CV-MAN","POTENTIOMETER"
"1","10k TRIM","TRIM_US-B64Y","B64Y","BALANCE","POTENTIOMETER"
"1","10µ","C-US025-050X050","C025-050X050","C1","CAPACITOR, American symbol"
"2","1K","R-US_R0603","R0603","R15, R16","RESISTOR, American symbol"
"1","2.2K","R-US_R0603","R0603","R14","RESISTOR, American symbol"
"1","2.2k","R-US_R0603","R0603","R4","RESISTOR, American symbol"
"2","3.3k","R-US_R0603","R0603","R20, R24","RESISTOR, American symbol"
"5","47k","R-US_R0603","R0603","R2, R9, R10, R11, R18","RESISTOR, American symbol"
"2","6.8k","R-US_R0603","R0603","R1, R3","RESISTOR, American symbol"
"2","7.5","R-US_R0603","R0603","R6, R7","RESISTOR, American symbol"
"1","DMMT3904W","DMMT3904W","SOT363","T1",""
"1","EURORACK-POWER","EURORACK-POWER","EURORACK-POWER","U$1",""
"3","I/O","MONO_JACK","MONO_JACK","AUDIO-IN, AUDIO-OUT, CV-IN",""
"1","MMBT2222ALT1","MMBT2222ALT1-NPN-SOT23-BEC","SOT23-BEC","T2","NPN Transistror"
"1","TL084D","TL084D","SO14","IC2","OP AMP"
"3","TLLG4400","TLLG4400","LED3MM","LED-AUDIO-IN, LED-AUDIO-OUT, LED-CV","Low Current (2mA) LED 3 mm Tinted Diffused Package color GREEN"
